"organism_biosamp","Generational_Structure","ReturnToSpawningGround","Spawning_mode","Larval_feeding","isPlanktonic_atanypoint","isBenthic","PLD_point2","Body_Size","Fecundity_EggSize"
"Stegastes leucorus","I",FALSE,"N","P",TRUE,"S",31.7,14,NA
"Stephanocoenia intersepta","I",FALSE,"I","L",TRUE,"S",NA,60,0.32
"Systellaspis debilis","I",FALSE,"I","L",TRUE,"N",28,1.5,3.6
"Uria aalge","I",TRUE,"N","N",FALSE,"S",0,45,80
"Uria lomvia","I",TRUE,"N","N",FALSE,"S",0,48,80
"Vampyroteuthis infernalis","I",FALSE,"I","P",TRUE,"N",0,20,3.5
"Zalophus wollebaeki","I",TRUE,"I","N",FALSE,"S",0,250,NA
"Zebrasoma flavescens","I",FALSE,"F","P",TRUE,"S",70,20,0.75
"Zebrasoma scopas","I",FALSE,"F","P",TRUE,"S",60,40,0.63
"Zenarchopterus dunckeri","I",FALSE,"I","N",TRUE,"S",NA,14,2
